ASV_ID	DA13_01	DA13_02	DA13_04	DA13_05	DA13_06	DA13_07	DA13_08	DA13_09	DA13_10	DA13_11	DA13_12	DA13_13	DA13_14	DA13_15	DA13_16	DA13_17	DA13_18	DA13_19	DA13_20	DA13_21	DA13_22	DA13_23	DA13_24	DA13_25	DA13_26	DA13_27	DA13_28	DA13_29	DA13_30	DA13_31	DA13_32	DA13_33	DA14_01	DA14_02	DA14_03	DA14_04	DA14_05	DA14_06	DA14_07	DA14_08	DA14_09	DA14_10	DA14_11	DA14_12	DA14_13	DA14_14	DA14_15	DA14_16	DA14_17	DA14_18	DA14_19	DA14_20	DA14_21	DA14_22	DA14_23	DA14_24	DA14_25	DA14_26	DA14_27	DA14_28	DA14_29	DA14_30	DA14_31	DA14_32	DA14_33	DA14_34	DA14_35	DA14_36	DA14_37	DA14_38	DA14_39	DA14_40	DA14_41	DA14_42	DA14_43	DA14_44	DA14_45	DA14_46	DA14_47	DA14_48	DA14_49	DA14_50	DA14_51	DA14_52	DA14_53	DA14_54	DA14_55	DA14_56	DA14_57	DA14_58	DA14_59	DA14_60	DA14_61	DA14_62	DA14_63	DA14_64	DA14_65	DA14_66	DA15_01	DA15_02	DA15_03	DA15_04	DA15_05	DA15_06	DA15_07	DA15_08	DA15_09	DA15_10	DA15_11	DA15_12	DA15_13	DA15_14	DA15_15	DA15_16	DA15_17	DA15_18	DA15_19	DA15_20	DA15_21	DA15_22	DA15_23	DA15_24	DA15_25	DA15_26	DA15_27	DA15_28	DA15_29	DA15_30	DA15_31	DA15_32	DA15_33	DA15_34	DA15_35	DA15_36	DA15_37	DA15_38	DA15_39	DA15_40	DA15_41	DA15_42	DA15_43	DA15_44	DA15_45	DA15_46	DA15_47	DA15_48	taxonomy
49d06a3ae3c9ca45d30c80ff48fc7caf	21574.0	1745.0	29900.0	1356.0	5333.0	2883.0	1201.0	1938.0	1738.0	711.0	6360.0	26093.0	20816.0	46598.0	60148.0	8486.0	12510.0	30150.0	54403.0	5653.0	61823.0	3292.0	1166.0	37182.0	2241.0	8382.0	27543.0	533.0	1176.0	16203.0	890.0	246.0	960.0	314.0	407.0	11222.0	6538.0	10488.0	67602.0	11162.0	5746.0	7066.0	14458.0	23091.0	30466.0	2637.0	46769.0	43607.0	32036.0	18011.0	36641.0	34640.0	70051.0	10750.0	24928.0	15128.0	5147.0	3378.0	9265.0	16940.0	5176.0	2433.0	78470.0	3615.0	3013.0	17311.0	1850.0	10209.0	27588.0	3997.0	1903.0	21304.0	2332.0	1466.0	14117.0	1074.0	33448.0	31612.0	964.0	5267.0	19163.0	4994.0	3574.0	37373.0	2109.0	3847.0	19164.0	2866.0	104.0	16419.0	735.0	530.0	24168.0	535.0	1843.0	28593.0	909.0	358.0	19596.0	264.0	119.0	7623.0	224.0	312.0	33305.0	1403.0	890.0	22470.0	258.0	686.0	14975.0	681.0	2159.0	12345.0	1397.0	301.0	6756.0	821.0	278.0	7313.0	1398.0	1409.0	418.0	10554.0	919.0	27100.0	1682.0	355.0	13812.0	4428.0	7735.0	9378.0	546.0	659.0	3864.0	4422.0	1937.0	8731.0	7429.0	4318.0	1874.0	320.0	1012.0	3404.0	2355.0	448.0	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium
ceb3fdab92423e700557c6f9e4e61636	546.0	256.0	9417.0	1772.0	341.0	647.0	1841.0	3961.0	3306.0	38.0	932.0	6195.0	5338.0	2074.0	3435.0	338.0	610.0	321.0	372.0	163.0	940.0	1553.0	126.0	27.0	0.0	19.0	832.0	652.0	97.0	2062.0	8.0	4289.0	4315.0	28.0	102.0	396.0	1017.0	1685.0	277.0	50.0	595.0	209.0	262.0	2898.0	13646.0	435.0	163.0	1503.0	2690.0	75.0	166.0	222.0	823.0	286.0	1263.0	238.0	6303.0	400.0	2191.0	3815.0	347.0	2127.0	645.0	232.0	260.0	3082.0	66.0	2982.0	7269.0	566.0	211.0	635.0	182.0	125.0	5680.0	44.0	13418.0	3878.0	274.0	940.0	3136.0	370.0	828.0	84.0	74.0	12.0	4847.0	846.0	147.0	5838.0	325.0	249.0	800.0	66.0	82.0	1076.0	64.0	250.0	23159.0	3538.0	318.0	20723.0	608.0	898.0	9387.0	144.0	307.0	15236.0	120.0	518.0	4624.0	12781.0	22559.0	3852.0	139.0	6390.0	8751.0	384.0	100.0	2105.0	433.0	3353.0	7849.0	8873.0	3397.0	658.0	43.0	71.0	225.0	151.0	0.0	14.0	8.0	4.0	6.0	42.0	112.0	14.0	51.0	14.0	46.0	8.0	66.0	3316.0	831.0	203.0	Eukaryota;Obazoa;Opisthokonta;Metazoa
6f23a2ffff38c9840dcbf1c07d32dd33	22.0	1456.0	23.0	642.0	6266.0	0.0	354.0	1226.0	0.0	231.0	1243.0	0.0	567.0	24.0	0.0	161.0	2053.0	0.0	101.0	1522.0	58.0	301.0	912.0	29.0	508.0	1802.0	158.0	2636.0	23125.0	23.0	1618.0	5343.0	21.0	729.0	4047.0	22.0	1051.0	5775.0	40.0	831.0	2857.0	22.0	482.0	3545.0	50.0	266.0	766.0	0.0	74.0	473.0	0.0	28.0	544.0	0.0	282.0	1230.0	0.0	403.0	351.0	746.0	1052.0	2833.0	115.0	4628.0	13857.0	77.0	813.0	4036.0	230.0	1331.0	4127.0	71.0	4934.0	8340.0	47.0	4388.0	8814.0	17.0	170.0	3985.0	25.0	427.0	2353.0	29.0	555.0	2132.0	32.0	1288.0	3230.0	44.0	910.0	4959.0	0.0	374.0	640.0	22.0	4480.0	6738.0	0.0	150.0	690.0	53.0	545.0	1883.0	23.0	531.0	1248.0	63.0	113.0	6444.0	127.0	2303.0	1143.0	37.0	547.0	341.0	64.0	692.0	3178.0	74.0	2285.0	4436.0	10945.0	92.0	20079.0	123.0	1648.0	9362.0	182.0	26.0	1018.0	0.0	326.0	552.0	40.0	567.0	2027.0	1244.0	790.0	503.0	2346.0	678.0	2663.0	85.0	1975.0	8323.0	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus_lucimarinus
a3ca93396fb5ca07e787acea379dcf9e	182.0	55.0	97.0	41.0	51.0	89.0	210.0	64.0	161.0	378.0	712.0	408.0	4962.0	1308.0	4938.0	11558.0	3775.0	13191.0	27406.0	17651.0	7091.0	20947.0	8384.0	243.0	1296.0	527.0	3007.0	583.0	891.0	564.0	279.0	76.0	23.0	505.0	114.0	10.0	124.0	68.0	39.0	182.0	8.0	27.0	777.0	108.0	621.0	785.0	285.0	48.0	587.0	641.0	40.0	134.0	92.0	263.0	1746.0	281.0	1343.0	1908.0	1175.0	2065.0	750.0	111.0	328.0	278.0	195.0	1658.0	365.0	214.0	71.0	27.0	24.0	702.0	1189.0	464.0	444.0	1443.0	810.0	11473.0	3490.0	12186.0	120.0	123.0	84.0	52.0	21.0	11.0	48.0	167.0	0.0	94.0	124.0	47.0	121.0	23.0	57.0	376.0	356.0	132.0	179.0	40.0	35.0	27.0	87.0	24.0	9.0	17.0	12.0	200.0	38.0	39.0	2138.0	1140.0	148.0	298.0	2330.0	241.0	1312.0	1567.0	2055.0	6673.0	3721.0	3344.0	1385.0	255.0	901.0	230.0	365.0	114.0	192.0	19.0	40.0	26.0	14.0	196.0	46.0	14.0	11.0	204.0	188.0	114.0	177.0	19.0	72.0	118.0	669.0	11.0	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_sp_P._quinquecorne_endosymbiont
303e81c29d1a835e31599c1f593ec817	50.0	146.0	24.0	33.0	0.0	0.0	190.0	76.0	14.0	261.0	139.0	0.0	264.0	51.0	71.0	179.0	77.0	378.0	716.0	273.0	614.0	2196.0	1431.0	3390.0	2869.0	2378.0	12234.0	1916.0	4722.0	3255.0	3576.0	1166.0	0.0	0.0	0.0	0.0	47.0	23.0	0.0	28.0	0.0	32.0	0.0	0.0	29.0	26.0	0.0	0.0	0.0	22.0	0.0	43.0	35.0	57.0	309.0	56.0	102.0	256.0	500.0	835.0	1253.0	151.0	86.0	466.0	106.0	987.0	540.0	243.0	662.0	1072.0	190.0	2737.0	8399.0	1296.0	1872.0	5571.0	3076.0	3339.0	2373.0	4879.0	108.0	1404.0	368.0	122.0	676.0	88.0	55.0	606.0	44.0	61.0	517.0	199.0	198.0	1254.0	1008.0	814.0	8771.0	2383.0	162.0	86.0	88.0	178.0	900.0	312.0	58.0	818.0	264.0	1710.0	3569.0	1850.0	2988.0	5169.0	1137.0	107.0	1510.0	46.0	129.0	832.0	769.0	858.0	3587.0	312.0	3539.0	95.0	326.0	991.0	11011.0	715.0	10841.0	5292.0	14959.0	1714.0	1992.0	1694.0	1605.0	1125.0	127.0	979.0	747.0	466.0	1079.0	2084.0	621.0	15.0	298.0	37.0	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira
8437ad5c86a73088ddf64fd5d282e9bd	17.0	1057.0	57.0	816.0	4256.0	0.0	2354.0	3856.0	0.0	999.0	1992.0	11.0	3539.0	32.0	0.0	847.0	10591.0	10.0	197.0	3766.0	0.0	535.0	1001.0	0.0	335.0	908.0	18.0	450.0	2412.0	0.0	412.0	860.0	21.0	1256.0	3241.0	32.0	2784.0	8963.0	97.0	3702.0	4578.0	126.0	1877.0	6053.0	107.0	3055.0	4849.0	39.0	350.0	1453.0	0.0	36.0	381.0	0.0	202.0	372.0	0.0	642.0	395.0	673.0	1678.0	3099.0	24.0	3089.0	4667.0	16.0	745.0	1802.0	46.0	656.0	1203.0	13.0	515.0	579.0	22.0	1215.0	1518.0	3.0	564.0	7971.0	0.0	909.0	2487.0	0.0	651.0	1153.0	0.0	280.0	474.0	0.0	325.0	724.0	17.0	437.0	717.0	0.0	2346.0	2032.0	0.0	112.0	189.0	0.0	1199.0	3340.0	0.0	1218.0	1898.0	57.0	51.0	1125.0	115.0	4378.0	893.0	88.0	9702.0	3673.0	19.0	301.0	879.0	0.0	1855.0	2085.0	1133.0	17.0	1541.0	21.0	622.0	1834.0	133.0	0.0	919.0	28.0	362.0	745.0	15.0	784.0	2137.0	1767.0	1441.0	943.0	2081.0	2132.0	4813.0	0.0	348.0	1106.0	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_bravo_B1
59ee4110516c17ffb68b3c8ca7a2e409	25.0	5509.0	161.0	3267.0	1039.0	0.0	1117.0	648.0	20.0	3510.0	1212.0	25.0	3675.0	119.0	36.0	661.0	1660.0	61.0	687.0	1763.0	90.0	1669.0	936.0	33.0	977.0	904.0	36.0	267.0	951.0	33.0	676.0	412.0	44.0	6557.0	3652.0	37.0	2997.0	3919.0	280.0	7753.0	662.0	154.0	2617.0	1124.0	224.0	3093.0	2636.0	201.0	1436.0	1682.0	0.0	284.0	452.0	27.0	4641.0	931.0	56.0	2488.0	305.0	365.0	1244.0	461.0	149.0	9522.0	3575.0	121.0	2326.0	1114.0	117.0	3973.0	1758.0	129.0	6755.0	2005.0	84.0	4926.0	963.0	153.0	469.0	1395.0	0.0	248.0	292.0	0.0	244.0	125.0	0.0	175.0	146.0	0.0	132.0	98.0	22.0	128.0	68.0	25.0	1171.0	287.0	114.0	307.0	277.0	25.0	558.0	610.0	61.0	1351.0	880.0	132.0	3587.0	1664.0	213.0	2535.0	111.0	101.0	5415.0	231.0	0.0	333.0	541.0	85.0	789.0	170.0	900.0	38.0	279.0	28.0	375.0	657.0	3090.0	18.0	210.0	21.0	646.0	1335.0	19.0	543.0	411.0	216.0	154.0	114.0	888.0	356.0	188.0	104.0	529.0	451.0	Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;Teleaulax
c7ff79b83a3a5a22215e511c751f083b	0.0	0.0	62.0	326.0	0.0	0.0	531.0	394.0	0.0	436.0	231.0	0.0	326.0	0.0	59.0	287.0	435.0	83.0	381.0	597.0	101.0	393.0	351.0	69.0	929.0	1198.0	296.0	1937.0	5515.0	116.0	1815.0	1086.0	96.0	381.0	416.0	0.0	222.0	317.0	33.0	75.0	0.0	347.0	175.0	58.0	92.0	77.0	358.0	2060.0	620.0	735.0	33.0	255.0	245.0	28.0	1123.0	418.0	120.0	1703.0	553.0	838.0	2640.0	1473.0	23.0	682.0	479.0	96.0	1023.0	635.0	186.0	1698.0	1057.0	126.0	2768.0	1077.0	69.0	286.0	284.0	101.0	189.0	950.0	35.0	1157.0	948.0	43.0	3036.0	1091.0	47.0	5303.0	1309.0	116.0	2113.0	1565.0	112.0	1327.0	1453.0	22.0	3912.0	1188.0	197.0	12407.0	1099.0	70.0	512.0	435.0	0.0	2155.0	455.0	0.0	128.0	99.0	77.0	412.0	169.0	58.0	437.0	55.0	1569.0	2289.0	254.0	143.0	715.0	195.0	822.0	25.0	237.0	66.0	746.0	732.0	1390.0	839.0	1581.0	308.0	3342.0	9307.0	1453.0	5842.0	5658.0	2686.0	1928.0	1240.0	1281.0	1521.0	1029.0	149.0	1372.0	916.0	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa
a59c20a795c10fca5ddea1b5bb9467c1	4202.0	1003.0	15900.0	2352.0	2713.0	6285.0	4303.0	1301.0	1551.0	1387.0	1982.0	5935.0	7073.0	15917.0	2419.0	249.0	928.0	17.0	149.0	70.0	28.0	7.0	0.0	18.0	0.0	6.0	2387.0	84.0	108.0	570.0	38.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	13.0	0.0	9.0	18.0	0.0	0.0	1074.0	184.0	103.0	68.0	3.0	14.0	35.0	3.0	10.0	121.0	0.0	18.0	551.0	252.0	216.0	1766.0	22.0	86.0	72.0	20.0	26.0	11.0	9.0	0.0	20.0	0.0	15.0	27.0	0.0	12.0	66.0	4.0	21.0	29.0	29.0	13.0	429.0	22.0	3.0	83.0	26.0	7.0	0.0	11.0	10.0	718.0	50.0	9.0	3839.0	405.0	110.0	2165.0	895.0	96.0	318.0	96.0	128.0	352.0	103.0	77.0	32.0	176.0	10.0	395.0	10.0	23.0	28.0	28.0	8.0	9.0	10.0	15.0	1749.0	64.0	17.0	196.0	158.0	102.0	298.0	7.0	8.0	266.0	179.0	31.0	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros
eb6bacaa2896c63743a0969f7c3b958d	0.0	0.0	38.0	0.0	0.0	6.0	12.0	0.0	119.0	40.0	68.0	208.0	52.0	77.0	76.0	0.0	32.0	40.0	21.0	19.0	562.0	32.0	0.0	52.0	0.0	0.0	17.0	0.0	0.0	133.0	15.0	242.0	0.0	0.0	0.0	0.0	0.0	95.0	8.0	23.0	0.0	49.0	103.0	145.0	150.0	23.0	37.0	11.0	49.0	0.0	0.0	0.0	75.0	11.0	102.0	172.0	855.0	62.0	196.0	392.0	140.0	86.0	205.0	42.0	66.0	73.0	83.0	61.0	6256.0	357.0	112.0	629.0	91.0	249.0	507.0	145.0	1748.0	1841.0	125.0	677.0	1546.0	545.0	480.0	171.0	48.0	203.0	5684.0	1167.0	264.0	2066.0	305.0	404.0	4225.0	149.0	423.0	1288.0	1163.0	40.0	1608.0	85.0	194.0	1272.0	172.0	335.0	1340.0	41.0	114.0	964.0	87.0	452.0	628.0	1288.0	2302.0	147.0	430.0	855.0	163.0	100.0	86.0	644.0	124.0	3383.0	68.0	3620.0	1273.0	1863.0	46.0	2040.0	280.0	57.0	46.0	475.0	1902.0	16.0	94.0	40.0	54.0	2423.0	2037.0	1284.0	114.0	983.0	1058.0	6255.0	1270.0	1073.0	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;Oithona_davisae
356e8c14f987b1f2322debb9d5c2e075	9.0	538.0	0.0	176.0	250.0	0.0	143.0	159.0	21.0	1751.0	1000.0	0.0	1334.0	265.0	38.0	672.0	1282.0	54.0	753.0	768.0	59.0	788.0	802.0	73.0	1510.0	1594.0	263.0	221.0	1701.0	39.0	313.0	292.0	0.0	0.0	14.0	0.0	137.0	158.0	9.0	367.0	16.0	0.0	109.0	67.0	47.0	34.0	161.0	28.0	154.0	585.0	33.0	326.0	804.0	0.0	961.0	705.0	26.0	554.0	109.0	229.0	763.0	490.0	19.0	346.0	202.0	71.0	792.0	379.0	22.0	1116.0	441.0	77.0	2502.0	729.0	30.0	316.0	302.0	114.0	244.0	1136.0	24.0	965.0	729.0	14.0	978.0	536.0	0.0	1266.0	106.0	30.0	471.0	478.0	40.0	349.0	435.0	0.0	2805.0	883.0	173.0	4848.0	1004.0	17.0	256.0	223.0	0.0	2797.0	1709.0	133.0	610.0	687.0	66.0	653.0	162.0	19.0	954.0	30.0	100.0	427.0	683.0	188.0	2002.0	504.0	2098.0	120.0	714.0	64.0	530.0	340.0	492.0	43.0	448.0	11.0	375.0	1771.0	128.0	491.0	543.0	367.0	211.0	140.0	158.0	3830.0	1131.0	106.0	4318.0	1330.0	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales
7339ea459aa81191fce7bdc808274976	0.0	133.0	7.0	61.0	76.0	17.0	267.0	85.0	0.0	109.0	46.0	0.0	65.0	12.0	0.0	166.0	138.0	106.0	285.0	231.0	47.0	241.0	191.0	0.0	83.0	65.0	296.0	85.0	364.0	130.0	213.0	149.0	7.0	26.0	20.0	0.0	15.0	11.0	9.0	19.0	0.0	56.0	254.0	60.0	226.0	261.0	244.0	256.0	86.0	176.0	21.0	55.0	26.0	51.0	366.0	56.0	135.0	648.0	179.0	346.0	3006.0	301.0	242.0	2861.0	842.0	2204.0	3531.0	2763.0	195.0	514.0	211.0	286.0	1074.0	166.0	256.0	499.0	479.0	832.0	1962.0	4527.0	37.0	746.0	499.0	66.0	471.0	121.0	35.0	1340.0	49.0	71.0	1509.0	1006.0	79.0	1306.0	1296.0	59.0	2060.0	289.0	42.0	68.0	54.0	54.0	841.0	256.0	36.0	911.0	170.0	92.0	521.0	403.0	357.0	1043.0	152.0	58.0	1003.0	30.0	365.0	3076.0	1718.0	78.0	211.0	57.0	534.0	33.0	211.0	28.0	1969.0	240.0	1339.0	479.0	1623.0	323.0	552.0	796.0	2421.0	4402.0	204.0	891.0	704.0	429.0	852.0	594.0	296.0	15.0	355.0	22.0	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus_comicus
a29dc999b09a2b38864ac0be1f64166f	0.0	0.0	125.0	46.0	0.0	0.0	0.0	0.0	42.0	16.0	0.0	51.0	49.0	74.0	67.0	11.0	0.0	98.0	113.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	22.0	0.0	0.0	0.0	11.0	0.0	62.0	196.0	273.0	109.0	44.0	0.0	13.0	119.0	2764.0	150.0	60.0	0.0	0.0	18.0	0.0	0.0	9.0	7.0	37.0	124.0	0.0	0.0	942.0	1563.0	137.0	24.0	150.0	14.0	277.0	132.0	140.0	8.0	4740.0	241.0	14.0	547.0	94.0	337.0	78.0	55.0	354.0	630.0	10.0	934.0	335.0	11.0	42.0	0.0	41.0	0.0	913.0	111.0	83.0	136.0	46.0	34.0	9070.0	33.0	119.0	1291.0	73.0	13.0	8580.0	963.0	151.0	90.0	98.0	529.0	543.0	89.0	16.0	546.0	26.0	34.0	240.0	48.0	4746.0	15758.0	577.0	216.0	476.0	59.0	0.0	213.0	316.0	193.0	0.0	948.0	370.0	42.0	0.0	16.0	22.0	56.0	4.0	3865.0	2800.0	12.0	31.0	0.0	0.0	187.0	137.0	79.0	0.0	82.0	171.0	285.0	86.0	263.0	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda
d2b99988be575a99e012396e4ed8ad6d	0.0	0.0	47.0	0.0	28.0	0.0	421.0	71.0	5501.0	352.0	1578.0	902.0	273.0	283.0	579.0	14.0	46.0	2470.0	78.0	0.0	949.0	6.0	676.0	152.0	9.0	0.0	285.0	0.0	0.0	0.0	33.0	996.0	6232.0	19.0	30.0	803.0	317.0	712.0	262.0	32.0	289.0	143.0	0.0	27.0	645.0	34.0	26.0	927.0	548.0	945.0	55.0	19.0	237.0	23.0	146.0	445.0	2.0	44.0	3590.0	5146.0	24.0	25.0	618.0	87.0	451.0	0.0	22.0	22.0	518.0	67.0	19.0	18.0	23.0	0.0	2843.0	0.0	2399.0	948.0	0.0	91.0	108.0	31.0	108.0	104.0	24.0	205.0	0.0	0.0	0.0	0.0	137.0	0.0	797.0	0.0	79.0	1932.0	17.0	0.0	820.0	136.0	24.0	5026.0	257.0	112.0	138.0	0.0	0.0	28.0	37.0	17.0	6.0	0.0	0.0	0.0	0.0	2999.0	3697.0	266.0	48.0	386.0	175.0	887.0	1536.0	246.0	21.0	55.0	0.0	0.0	19.0	0.0	9.0	4757.0	0.0	0.0	0.0	0.0	22.0	0.0	14.0	0.0	113.0	14.0	44.0	17.0	20.0	0.0	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Sulcanus;Sulcanus_conflictus
e2e1a77eb3bd3f5c3459bf90d477dd09	0.0	0.0	0.0	0.0	31.0	0.0	69.0	84.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	130.0	1321.0	0.0	75.0	869.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	125.0	174.0	1060.0	1325.0	0.0	879.0	812.0	0.0	829.0	1067.0	0.0	700.0	736.0	0.0	145.0	94.0	0.0	192.0	165.0	25.0	541.0	5320.0	44.0	1342.0	2547.0	0.0	282.0	312.0	0.0	106.0	108.0	0.0	206.0	334.0	0.0	397.0	513.0	0.0	259.0	148.0	30.0	281.0	450.0	44.0	2872.0	6595.0	0.0	1084.0	1204.0	0.0	46.0	51.0	0.0	77.0	67.0	0.0	1041.0	301.0	0.0	457.0	1175.0	50.0	3630.0	2622.0	812.0	0.0	801.0	24.0	480.0	936.0	114.0	0.0	281.0	0.0	134.0	219.0	0.0	563.0	1007.0	1527.0	1283.0	823.0	1052.0	3819.0	5135.0	27.0	104.0	145.0	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella_clade_B
6b6f6a7fa3629d1a3e0fd68d8cd2eb16	0.0	0.0	0.0	0.0	49.0	0.0	14.0	0.0	0.0	0.0	90.0	43.0	0.0	201.0	348.0	80.0	71.0	121.0	136.0	0.0	470.0	0.0	0.0	88.0	0.0	0.0	1141.0	0.0	83.0	338.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	123.0	0.0	0.0	84.0	0.0	59.0	414.0	0.0	0.0	178.0	0.0	0.0	804.0	439.0	1584.0	159.0	384.0	925.0	541.0	172.0	1394.0	2441.0	364.0	238.0	3544.0	182.0	560.0	5418.0	221.0	1637.0	8345.0	266.0	391.0	385.0	238.0	72.0	2572.0	328.0	681.0	2339.0	0.0	373.0	866.0	115.0	256.0	1425.0	84.0	206.0	655.0	139.0	0.0	1550.0	0.0	0.0	2757.0	0.0	461.0	5859.0	228.0	0.0	259.0	0.0	0.0	339.0	0.0	51.0	228.0	32.0	76.0	270.0	0.0	2.0	99.0	76.0	110.0	284.0	135.0	0.0	392.0	65.0	43.0	203.0	93.0	201.0	0.0	218.0	113.0	571.0	78.0	46.0	529.0	44.0	108.0	78.0	0.0	0.0	479.0	145.0	46.0	913.0	1017.0	430.0	46.0	0.0	183.0	127.0	153.0	0.0	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae
07a66b21d5f47efd8d9f9c3aa501460a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	22.0	35.0	334.0	102.0	22.0	157.0	76.0	210.0	3690.0	2219.0	1199.0	7334.0	3597.0	10.0	142.0	13.0	5.0	23.0	8.0	0.0	0.0	16.0	0.0	71.0	91.0	0.0	309.0	140.0	0.0	16.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	14.0	192.0	224.0	68.0	1342.0	805.0	95.0	45.0	7.0	17.0	17.0	269.0	23.0	69.0	8.0	36.0	846.0	1435.0	2362.0	20467.0	3406.0	668.0	131.0	384.0	63.0	69.0	63.0	131.0	0.0	51.0	12.0	263.0	553.0	42.0	1367.0	2115.0	63.0	59.0	33.0	535.0	59.0	48.0	0.0	17.0	0.0	Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea_X;Novel-clade-2;Novel-clade-2_X;Novel-clade-2_X_sp.
e56459e7eba9fd7aef489f54e096c2fe	0.0	0.0	37.0	13.0	28.0	0.0	359.0	35.0	4089.0	215.0	1186.0	819.0	137.0	308.0	642.0	0.0	71.0	2414.0	147.0	10.0	453.0	0.0	468.0	114.0	0.0	0.0	240.0	0.0	0.0	135.0	33.0	1013.0	4228.0	0.0	0.0	92.0	141.0	696.0	371.0	16.0	404.0	232.0	10.0	13.0	629.0	20.0	12.0	1134.0	497.0	524.0	57.0	0.0	594.0	0.0	227.0	263.0	0.0	18.0	2941.0	4353.0	47.0	0.0	641.0	99.0	1116.0	0.0	0.0	0.0	615.0	35.0	15.0	0.0	12.0	0.0	1717.0	0.0	3039.0	1262.0	0.0	78.0	131.0	27.0	71.0	95.0	0.0	305.0	8.0	0.0	0.0	0.0	160.0	0.0	490.0	0.0	97.0	1824.0	0.0	0.0	750.0	46.0	0.0	3146.0	248.0	84.0	644.0	0.0	0.0	0.0	12.0	14.0	0.0	0.0	0.0	0.0	0.0	1376.0	3538.0	343.0	46.0	312.0	153.0	257.0	1227.0	171.0	19.0	27.0	0.0	13.0	0.0	0.0	0.0	1884.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	13.0	0.0	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Isias;Isias_clavipes
